citation_context,masked_cit_context,masked_token_target
"ate: Timestamp Winner: Person Loser: Person Position: Occupation Vote: Number Traditionally, template extractors assume foreknowledge of the event schemas. They know a Winner exists, and research focuses on supervised learning to extract winners from text. This paper focuses on the other side of the supervision spectrum. The learner receives no human input, and it first induces a schema before extracting instances of it. Our proposed model contributes to a growing line of research in schema induction. The majority of previous work relies on ad-hoc clustering algorithms (Filatova et al., 2006;  Sekine, 2006 ; Chambers and Jurafsky, 2011). Chambers and Jurafsky is a pipelined approach, learning events first, and later learning syntactic patterns as fillers. It requires 1797 Proceedings of the 2013 Conference on Empirical Methods in Natural Language Processing, pages 1797–1807, Seattle, Washington, USA, 18-21 October 2013. c�2013 Association for Computational Linguistics several ad-hoc metrics and parameters, and it lacks the benefits of a formal model. However, central to their algorithm is the use of coreferring entity mentions to knit events and entities together into an event schema. We adapt t","ate: Timestamp Winner: Person Loser: Person Position: Occupation Vote: Number Traditionally, template extractors assume foreknowledge of the event schemas. They know a Winner exists, and research focuses on supervised learning to extract winners from text. This paper focuses on the other side of the supervision spectrum. The learner receives no human input, and it first induces a schema before extracting instances of it. Our proposed model contributes to a growing line of research in schema induction. The majority of previous work relies on ad-hoc clustering algorithms (Filatova et al., 2006;  <mask> ; Chambers and Jurafsky, 2011). Chambers and Jurafsky is a pipelined approach, learning events first, and later learning syntactic patterns as fillers. It requires 1797 Proceedings of the 2013 Conference on Empirical Methods in Natural Language Processing, pages 1797–1807, Seattle, Washington, USA, 18-21 October 2013. c�2013 Association for Computational Linguistics several ad-hoc metrics and parameters, and it lacks the benefits of a formal model. However, central to their algorithm is the use of coreferring entity mentions to knit events and entities together into an event schema. We adapt t","Sekine, 2006"
"a single language model score on hypothesized error and potential correction to filter out unlikely correction candidates as in Gamon et al. (2008) and Gamon (2010). 5.2 String features String features capture information about the characters in a token and the tokens in a sentence. Two binary features indicate whether a token is capitalized (initial capitalization or all capitalized), one feature indicates the token length in characters and one feature measures the number of tokens in the sentence. 5.3 Linguistic Analysis features Each sentence is linguistically analyzed by a PCFG-LA parser ( Petrov et al., 2006 ) trained on the Penn Treebank (Marcus et al., 1993). A number of features are extracted from the constituency tree to assess the syntactic complexity of the whole sentence, the syntactic complexity of the local environment of a token, and simple constituency information for each token. These features are: label of the parent and grandparent node, number of sibling nodes, number of siblings of the parent, presence of a governing head node, label of the governing head node, and length of path to the root. An additional feature indicates whether the POS tag assigned by the parser does not match t","a single language model score on hypothesized error and potential correction to filter out unlikely correction candidates as in Gamon et al. (2008) and Gamon (2010). 5.2 String features String features capture information about the characters in a token and the tokens in a sentence. Two binary features indicate whether a token is capitalized (initial capitalization or all capitalized), one feature indicates the token length in characters and one feature measures the number of tokens in the sentence. 5.3 Linguistic Analysis features Each sentence is linguistically analyzed by a PCFG-LA parser ( <mask> ) trained on the Penn Treebank (Marcus et al., 1993). A number of features are extracted from the constituency tree to assess the syntactic complexity of the whole sentence, the syntactic complexity of the local environment of a token, and simple constituency information for each token. These features are: label of the parent and grandparent node, number of sibling nodes, number of siblings of the parent, presence of a governing head node, label of the governing head node, and length of path to the root. An additional feature indicates whether the POS tag assigned by the parser does not match t","Petrov et al., 2006"
"e best path, thus producing samples similar to N-best lists, and samples from other real values of the temperature can be combined. Compared to the method using the whole lattice, the proposed approaches have a substantially lower computational complexity under very broad and common assumptions, and yet yield translation quality improvements of comparable magnitude over the baseline N-best list method. While the method presented in this paper operates on the translation lattices generated by PhraseBased SMT decoders, the extension to translation 613 forests generated by hierarchical decoders ( Chiang, 2007 ) seems straightforward. In that case, the backward sweep for propagating unnormalized posterior probabilities is replaced by a bottom-up sweep, and the sampling now concerns (binary) trees instead of paths, but the rest of the procedure is substantially unchanged. We conjecture however that the extension to translation forests would be less competitive compared to working with the whole packed forest (as in (Kumar et al., 2009)) than lattice sampling is compared to working with the whole lattice. The reason we believe this is that hierarchical models lead to much more spurious ambiguity than p","e best path, thus producing samples similar to N-best lists, and samples from other real values of the temperature can be combined. Compared to the method using the whole lattice, the proposed approaches have a substantially lower computational complexity under very broad and common assumptions, and yet yield translation quality improvements of comparable magnitude over the baseline N-best list method. While the method presented in this paper operates on the translation lattices generated by PhraseBased SMT decoders, the extension to translation 613 forests generated by hierarchical decoders ( <mask> ) seems straightforward. In that case, the backward sweep for propagating unnormalized posterior probabilities is replaced by a bottom-up sweep, and the sampling now concerns (binary) trees instead of paths, but the rest of the procedure is substantially unchanged. We conjecture however that the extension to translation forests would be less competitive compared to working with the whole packed forest (as in (Kumar et al., 2009)) than lattice sampling is compared to working with the whole lattice. The reason we believe this is that hierarchical models lead to much more spurious ambiguity than p","Chiang, 2007"
"kinds of scripts, with each script having three different tracks. For example, the basic restaurant script has a fancyfood track, a coffee-shop track, and a fast-food. track. One question to ask is whether a more sophisticated analysis based on a finer-gained linguistic analysis can improve its script-based inferencing capabilities. That is, are statistical techniques sufficient, or must they be guided by theoretical linguistic tools? For example, instead of generating a word's representation from case-role assignments, one might try generating these representations from its qualia structure ( Pustejovsky, 1991 ), or use some combination of the two.1 Thus for a noun such as tape, its qualia structure might state that a tape is an &quot;information container&quot; that is also a two-dimensional physical object, where the information is written onto the object. A question for both the Al and linguistics 1 The qualia structure specifies the different aspects of a word's meaning through the use of subtyping. These include the subtypes constitutive (the relation between the object and its constituent parts), formal (that which distinguishes it within a larger domain), telic (its purpose and function), and agentive (","kinds of scripts, with each script having three different tracks. For example, the basic restaurant script has a fancyfood track, a coffee-shop track, and a fast-food. track. One question to ask is whether a more sophisticated analysis based on a finer-gained linguistic analysis can improve its script-based inferencing capabilities. That is, are statistical techniques sufficient, or must they be guided by theoretical linguistic tools? For example, instead of generating a word's representation from case-role assignments, one might try generating these representations from its qualia structure ( <mask> ), or use some combination of the two.1 Thus for a noun such as tape, its qualia structure might state that a tape is an &quot;information container&quot; that is also a two-dimensional physical object, where the information is written onto the object. A question for both the Al and linguistics 1 The qualia structure specifies the different aspects of a word's meaning through the use of subtyping. These include the subtypes constitutive (the relation between the object and its constituent parts), formal (that which distinguishes it within a larger domain), telic (its purpose and function), and agentive (","Pustejovsky, 1991"
", pages 127–132, Jeju, Republic of Korea, 8-14 July 2012. c�2012 Association for Computational Linguistics Source-to-target Examples (partial) Decoding Rules Parser tree-to-tree (Ding and Palmer, 2005) ↓ dep.-to-dep. DG forest-to-tree (Liu et al., 2009a) ↓ ↑↓ tree-to-tree PCFG tree-to-string (Liu et al., 2006) ↑ tree-to-string PCFG (Quirk et al., 2005) ↑ dep.-to-string DG forest-to-string (Mi et al., 2008) ↓ ↑↓ tree-to-string PCFG (Wu et al., 2011a) ↓ ↑↓ tree-to-string HPSG string-to-tree (Galley et al., 2006) CKY tree-to-string PCFG (Shen et al., 2008) CKY string-to-dep. DG string-to-string ( Chiang, 2005 ) CKY string-to-string none (Xiong et al., 2006) CKY string-to-string none Table 1: A classification of syntax-based SMT systems. Tree/forest-based and string-based systems are split by a line. All the systems listed here are linguistically syntax-based except the last two ( Chiang, 2005 ) and (Xiong et al., 2006), which are formally syntax-based. DG stands for dependency (abbreviated as dep.) grammar. ↓ and ↑ denote top-down and bottom-up traversals of a source tree/forest. string models and string-to-tree model. However, few tree/forest-to-string systems have been made open source and this make",", pages 127–132, Jeju, Republic of Korea, 8-14 July 2012. c�2012 Association for Computational Linguistics Source-to-target Examples (partial) Decoding Rules Parser tree-to-tree (Ding and Palmer, 2005) ↓ dep.-to-dep. DG forest-to-tree (Liu et al., 2009a) ↓ ↑↓ tree-to-tree PCFG tree-to-string (Liu et al., 2006) ↑ tree-to-string PCFG (Quirk et al., 2005) ↑ dep.-to-string DG forest-to-string (Mi et al., 2008) ↓ ↑↓ tree-to-string PCFG (Wu et al., 2011a) ↓ ↑↓ tree-to-string HPSG string-to-tree (Galley et al., 2006) CKY tree-to-string PCFG (Shen et al., 2008) CKY string-to-dep. DG string-to-string ( <mask> ) CKY string-to-string none (Xiong et al., 2006) CKY string-to-string none Table 1: A classification of syntax-based SMT systems. Tree/forest-based and string-based systems are split by a line. All the systems listed here are linguistically syntax-based except the last two ( <mask> ) and (Xiong et al., 2006), which are formally syntax-based. DG stands for dependency (abbreviated as dep.) grammar. ↓ and ↑ denote top-down and bottom-up traversals of a source tree/forest. string models and string-to-tree model. However, few tree/forest-to-string systems have been made open source and this make","Chiang, 2005"
" towards unsupervised machine learning techniques (see Section 7 for more discussion). A more promising approach is that of combining small amounts of seed labeled data with unlimited amounts of unlabeled data to bootstrap statistical parsers. In this paper, we use one such machine learning technique: Co-Training, which has been used successfully in several classification tasks like web page classification, word sense disambiguation and named-entity recognition. Early work in combining labeled and unlabeled data for NLP tasks was done in the area of unsupervised part of speech (POS) tagging. ( Cutting et al., 1992 ) reported very high results (96% on the Brown corpus) for unsupervised POS tagging using Hidden Markov Models (HMMs) by exploiting hand-built tag dictionaries and equivalence classes. Tag dictionaries are predefined assignments of all possible POS tags to words in the test data. This impressive result triggered several follow-up studies in which the effect of hand tuning the tag dictionary was quantified as a combination of labeled and unlaS NP Pierre/NNP Vinken/NNP will/MD VP VP NP the/DT board/NN as/IN join/VB PP NP a/DT non−executive/JJ director/NN Figure 1: An example of the kind of output"," towards unsupervised machine learning techniques (see Section 7 for more discussion). A more promising approach is that of combining small amounts of seed labeled data with unlimited amounts of unlabeled data to bootstrap statistical parsers. In this paper, we use one such machine learning technique: Co-Training, which has been used successfully in several classification tasks like web page classification, word sense disambiguation and named-entity recognition. Early work in combining labeled and unlabeled data for NLP tasks was done in the area of unsupervised part of speech (POS) tagging. ( <mask> ) reported very high results (96% on the Brown corpus) for unsupervised POS tagging using Hidden Markov Models (HMMs) by exploiting hand-built tag dictionaries and equivalence classes. Tag dictionaries are predefined assignments of all possible POS tags to words in the test data. This impressive result triggered several follow-up studies in which the effect of hand tuning the tag dictionary was quantified as a combination of labeled and unlaS NP Pierre/NNP Vinken/NNP will/MD VP VP NP the/DT board/NN as/IN join/VB PP NP a/DT non−executive/JJ director/NN Figure 1: An example of the kind of output","Cutting et al., 1992"
" Dell’Orletta (2008) have shown that this feature improves the accuracy of a shift/reduce dependency parser by providing approximate information about NP chunks in the sentence. In fact no token besides the head of a noun phrase can have a head referring to a token outside the noun phrase. Hence the parser can learn to avoid creating such links. The addition of this feature yields an increase of 0.80% in Labeled Accuracy on the development set. 2.2 Revision Parser: DeSRrevision right−to−left Our second individual parsing model implements an alternative to the method of revising parse trees of  Attardi and Ciaramita, 2007 ) (see also (Hall & Novak, 2005)). The original approach consisted in training a classifier to revise the errors of a baseline parser. The approach assumed that only local revisions to the parse tree would be needed, since the dependency parser mostly gets individual phrases correctly. The experiments showed that indeed most of the corrections can be expressed by a small set of (about 20) complex movement rules. Furthermore, there was evidence that one could get higher improvements from the tree revision classifier if this was trained on the output of a lower accuracy parser. The reason for thi"," Dell’Orletta (2008) have shown that this feature improves the accuracy of a shift/reduce dependency parser by providing approximate information about NP chunks in the sentence. In fact no token besides the head of a noun phrase can have a head referring to a token outside the noun phrase. Hence the parser can learn to avoid creating such links. The addition of this feature yields an increase of 0.80% in Labeled Accuracy on the development set. 2.2 Revision Parser: DeSRrevision right−to−left Our second individual parsing model implements an alternative to the method of revising parse trees of  <mask> ) (see also (Hall & Novak, 2005)). The original approach consisted in training a classifier to revise the errors of a baseline parser. The approach assumed that only local revisions to the parse tree would be needed, since the dependency parser mostly gets individual phrases correctly. The experiments showed that indeed most of the corrections can be expressed by a small set of (about 20) complex movement rules. Furthermore, there was evidence that one could get higher improvements from the tree revision classifier if this was trained on the output of a lower accuracy parser. The reason for thi","Attardi and Ciaramita, 2007"
"rich language, but any other language with labeled resources could be used instead. 600 Proceedings of the 49th Annual Meeting of the Association for Computational Linguistics, pages 600–609, Portland, Oregon, June 19-24, 2011. c�2011 Association for Computational Linguistics vised model (§5), rather than using them directly for supervised training. To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011). Syntactic universals are a well studied concept in linguistics (Carnie, 2002; Newmeyer, 2005), and were recently used in similar form by  Naseem et al., 2010 ) for multilingual grammar induction. Because there might be some controversy about the exact definitions of such universals, this set of coarse-grained POS categories is defined operationally, by collapsing language (or treebank) specific distinctions to a set of categories that exists across all languages. These universal POS categories not only facilitate the transfer of POS information from one language to another, but also relieve us from using controversial evaluation metrics,2 by establishing a direct correspondence between the induced hidden states in the foreign language and the observ","rich language, but any other language with labeled resources could be used instead. 600 Proceedings of the 49th Annual Meeting of the Association for Computational Linguistics, pages 600–609, Portland, Oregon, June 19-24, 2011. c�2011 Association for Computational Linguistics vised model (§5), rather than using them directly for supervised training. To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011). Syntactic universals are a well studied concept in linguistics (Carnie, 2002; Newmeyer, 2005), and were recently used in similar form by  <mask> ) for multilingual grammar induction. Because there might be some controversy about the exact definitions of such universals, this set of coarse-grained POS categories is defined operationally, by collapsing language (or treebank) specific distinctions to a set of categories that exists across all languages. These universal POS categories not only facilitate the transfer of POS information from one language to another, but also relieve us from using controversial evaluation metrics,2 by establishing a direct correspondence between the induced hidden states in the foreign language and the observ","Naseem et al., 2010"
"mmon – only allowing the common compound suffixes -s, -es, -n, -nen anypos – not using part-of-speech tags The corpus frequencies were gathered from the target side of the training corpus. We compared the systems with compound splitting with a factored baseline system without any compound processing. To measure the success of the different compound splitting algorithms we performed an intrinsic evaluation. We used the gold standard from Stymne (2008), created by manually annotating the first 5,000 words of the test text for one-to-one correspondence with the English reference text, similar to  Koehn and Knight, 2003 ). A one-toone correspondence occurs when the words in a German compound are translated as separate words in English. In addition there can be inserted function words. As an example, Medienfreiheit is in one-to-one correspondence with freedom of the media, since the two German parts Medien and Freiheit corresponds to two separate words, media and freedom. The two function words of, the are ignored. Out of the 5,000 words 174 were compounds in one-to-one correspondence with English. The result of the 1093 Computational Linguistics Volume 39, Number 4 one-to-one evaluation is shown in Table 16. T","mmon – only allowing the common compound suffixes -s, -es, -n, -nen anypos – not using part-of-speech tags The corpus frequencies were gathered from the target side of the training corpus. We compared the systems with compound splitting with a factored baseline system without any compound processing. To measure the success of the different compound splitting algorithms we performed an intrinsic evaluation. We used the gold standard from Stymne (2008), created by manually annotating the first 5,000 words of the test text for one-to-one correspondence with the English reference text, similar to  <mask> ). A one-toone correspondence occurs when the words in a German compound are translated as separate words in English. In addition there can be inserted function words. As an example, Medienfreiheit is in one-to-one correspondence with freedom of the media, since the two German parts Medien and Freiheit corresponds to two separate words, media and freedom. The two function words of, the are ignored. Out of the 5,000 words 174 were compounds in one-to-one correspondence with English. The result of the 1093 Computational Linguistics Volume 39, Number 4 one-to-one evaluation is shown in Table 16. T","Koehn and Knight, 2003"
"st set for success rate evaluation. Hemingway NYT English Writers FAZ German 3rd pers. & poss. pron. 274 302 576 299 320 619 sentences 153 233 386 186 394 580 words 2785 4546 7331 3195 8005 11200 5.1.2 Method. The evaluation was carried out manually by the authors, supported by a small-scale discourse annotation tool. We used the following guidelines for our evaluation: We did not assume any world knowledge as part of the anaphora resolution process. Only agreement criteria and sortal constraints were applied. We did not account for false positives and error chains, but marked the latter (see  Walker, 1989 ). We use Kameyama's (1998) specifications for dealing with complex sentences (for a description, see Section 3). Following  Walker, 1989 ), a discourse segment is defined as a paragraph unless its first sentence has a pronoun in subject position or a pronoun whose syntactic features do not match the syntactic features of any of the preceding sentence-internal noun phrases. Also, at the beginning of a segment, anaphora resolution is preferentially performed within the same utterance. According to the preference for intersentential candidates in the original centering model, we defined the followi","st set for success rate evaluation. Hemingway NYT English Writers FAZ German 3rd pers. & poss. pron. 274 302 576 299 320 619 sentences 153 233 386 186 394 580 words 2785 4546 7331 3195 8005 11200 5.1.2 Method. The evaluation was carried out manually by the authors, supported by a small-scale discourse annotation tool. We used the following guidelines for our evaluation: We did not assume any world knowledge as part of the anaphora resolution process. Only agreement criteria and sortal constraints were applied. We did not account for false positives and error chains, but marked the latter (see  <mask> ). We use Kameyama's (1998) specifications for dealing with complex sentences (for a description, see Section 3). Following  <mask> ), a discourse segment is defined as a paragraph unless its first sentence has a pronoun in subject position or a pronoun whose syntactic features do not match the syntactic features of any of the preceding sentence-internal noun phrases. Also, at the beginning of a segment, anaphora resolution is preferentially performed within the same utterance. According to the preference for intersentential candidates in the original centering model, we defined the followi","Walker, 1989"
